EPEX 2022	EPEX 2023	EPEX 2024
0.14849	0.17082	0.10100
0.14849	0.17082	0.10100
0.14849	0.17082	0.10100
0.14849	0.17082	0.10100
0.21400	0.16895	0.11460
0.21400	0.16895	0.11460
0.21400	0.16895	0.11460
0.21400	0.16895	0.11460
0.19200	0.16099	0.10000
0.19200	0.16099	0.10000
0.19200	0.16099	0.10000
0.19200	0.16099	0.10000
0.14980	0.14962	0.07323
0.14980	0.14962	0.07323
0.14980	0.14962	0.07323
0.14980	0.14962	0.07323
0.14422	0.13063	0.06741
0.14422	0.13063	0.06741
0.14422	0.13063	0.06741
0.14422	0.13063	0.06741
0.13000	0.11442	0.06500
0.13000	0.11442	0.06500
0.13000	0.11442	0.06500
0.13000	0.11442	0.06500
0.11000	0.09248	0.05812
0.11000	0.09248	0.05812
0.11000	0.09248	0.05812
0.11000	0.09248	0.05812
0.19490	0.08007	0.05730
0.19490	0.08007	0.05730
0.19490	0.08007	0.05730
0.19490	0.08007	0.05730
0.13725	0.06844	0.05046
0.13725	0.06844	0.05046
0.13725	0.06844	0.05046
0.13725	0.06844	0.05046
0.13720	0.03792	0.04000
0.13720	0.03792	0.04000
0.13720	0.03792	0.04000
0.13720	0.03792	0.04000
0.11931	0.00000	0.02548
0.11931	0.00000	0.02548
0.11931	0.00000	0.02548
0.11931	0.00000	0.02548
0.11713	0.00000	0.03500
0.11713	0.00000	0.03500
0.11713	0.00000	0.03500
0.11713	0.00000	0.03500
0.11990	0.00633	0.05773
0.11990	0.00633	0.05773
0.11990	0.00633	0.05773
0.11990	0.00633	0.05773
0.15691	0.05490	0.07265
0.15691	0.05490	0.07265
0.15691	0.05490	0.07265
0.15691	0.05490	0.07265
0.18264	0.08532	0.08502
0.18264	0.08532	0.08502
0.18264	0.08532	0.08502
0.18264	0.08532	0.08502
0.17891	0.15000	0.09147
0.17891	0.15000	0.09147
0.17891	0.15000	0.09147
0.17891	0.15000	0.09147
0.19000	0.14600	0.09420
0.19000	0.14600	0.09420
0.19000	0.14600	0.09420
0.19000	0.14600	0.09420
0.18988	0.13119	0.09161
0.18988	0.13119	0.09161
0.18988	0.13119	0.09161
0.18988	0.13119	0.09161
0.18242	0.13053	0.09003
0.18242	0.13053	0.09003
0.18242	0.13053	0.09003
0.18242	0.13053	0.09003
0.18246	0.12787	0.08628
0.18246	0.12787	0.08628
0.18246	0.12787	0.08628
0.18246	0.12787	0.08628
0.17959	0.11908	0.08596
0.17959	0.11908	0.08596
0.17959	0.11908	0.08596
0.17959	0.11908	0.08596
0.17900	0.11655	0.09211
0.17900	0.11655	0.09211
0.17900	0.11655	0.09211
0.17900	0.11655	0.09211
0.18093	0.12799	0.09862
0.18093	0.12799	0.09862
0.18093	0.12799	0.09862
0.18093	0.12799	0.09862
0.16669	0.13125	0.10445
0.16669	0.13125	0.10445
0.16669	0.13125	0.10445
0.16669	0.13125	0.10445
0.18988	0.15020	0.13021
0.18988	0.15020	0.13021
0.18988	0.15020	0.13021
0.18988	0.15020	0.13021
0.18494	0.13750	0.14067
0.18494	0.13750	0.14067
0.18494	0.13750	0.14067
0.18494	0.13750	0.14067
0.17899	0.12949	0.12310
0.17899	0.12949	0.12310
0.17899	0.12949	0.12310
0.17899	0.12949	0.12310
0.15612	0.12240	0.10165
0.15612	0.12240	0.10165
0.15612	0.12240	0.10165
0.15612	0.12240	0.10165
0.15499	0.12939	0.09677
0.15499	0.12939	0.09677
0.15499	0.12939	0.09677
0.15499	0.12939	0.09677
0.13792	0.10896	0.09304
0.13792	0.10896	0.09304
0.13792	0.10896	0.09304
0.13792	0.10896	0.09304
0.10600	0.10600	0.08861
0.10600	0.10600	0.08861
0.10600	0.10600	0.08861
0.10600	0.10600	0.08861
0.12888	0.00540	0.08608
0.12888	0.00540	0.08608
0.12888	0.00540	0.08608
0.12888	0.00540	0.08608
0.11388	0.00363	0.08051
0.11388	0.00363	0.08051
0.11388	0.00363	0.08051
0.11388	0.00363	0.08051
0.08450	0.00490	0.07701
0.08450	0.00490	0.07701
0.08450	0.00490	0.07701
0.08450	0.00490	0.07701
0.07538	0.00000	0.07288
0.07538	0.00000	0.07288
0.07538	0.00000	0.07288
0.07538	0.00000	0.07288
0.07911	0.00687	0.07212
0.07911	0.00687	0.07212
0.07911	0.00687	0.07212
0.07911	0.00687	0.07212
0.09479	0.01632	0.07452
0.09479	0.01632	0.07452
0.09479	0.01632	0.07452
0.09479	0.01632	0.07452
0.15800	0.06780	0.08011
0.15800	0.06780	0.08011
0.15800	0.06780	0.08011
0.15800	0.06780	0.08011
